CLIENT_ID,CLIENT_LegalName,CLIENT_TypName,PEOPLE_ID
1,Cogilith,Jaloo,579
2,Devbug,Ntags,587
3,Topiclounge,Twinder,927
4,Trudoo,Topiclounge,421
5,Wordify,Tagchat,931
6,Snaptags,Divavu,222
7,Fliptune,Photobug,791
8,Dynabox,Wordtune,134
9,Edgewire,Quinu,195
10,Meeveo,Oyonder,510
11,Zoovu,Jetwire,703
12,Mita,Riffpath,838
13,Mydo,Kimia,313
14,Voomm,Edgewire,470
15,Feedfish,Eamia,218
16,Teklist,Kare,234
17,Layo,Yozio,25
18,Abata,Zoozzy,152
19,Kimia,Topicblab,125
20,Browsezoom,Twitterbeat,469
21,Zoomcast,Quinu,136
22,Oozz,Brainbox,226
23,Bluejam,Yombu,37
24,Jabberstorm,Meevee,291
25,Jayo,Voolith,498
26,Janyx,Mycat,227
27,Wikizz,Plambee,240
28,Skimia,Zoozzy,610
29,Voonte,Wordpedia,858
30,Quinu,Mita,664
31,Janyx,Skipstorm,605
32,Wikivu,Vinte,247
33,Realcube,Blogspan,912
34,Kwilith,Trudoo,86
35,Jabberstorm,Gigaclub,960
36,Dazzlesphere,Oyonder,124
37,Zoozzy,Thoughtworks,137
38,Skivee,Tavu,911
39,Lazzy,Jaxspan,485
40,Devpoint,Vidoo,211
41,Avamm,Skyble,286
42,Ozu,Zoonder,15
43,Ailane,Livepath,91
44,Quamba,Aimbo,381
45,Midel,Eayo,15
46,Fanoodle,Zava,453
47,Trudoo,Twitterbeat,837
48,Livepath,Jetwire,324
49,Brainbox,Tambee,660
50,Mycat,Photobug,334
51,Eabox,Trupe,756
52,Leexo,Jetpulse,364
53,Divanoodle,Gigaclub,134
54,Aivee,Dabvine,482
55,Riffpedia,Leenti,899
56,Rhynoodle,Browsebug,399
57,DabZ,Avavee,112
58,Livepath,Gabvine,524
59,Zoomzone,Oyonder,667
60,Kimia,Zoovu,963
61,Blogpad,Yozio,923
62,Jabberstorm,Photobug,976
63,Zoovu,Linklinks,834
64,Yakitri,Dabjam,31
65,Latz,Bubblebox,312
66,Brightdog,Rhynoodle,52
67,Trilith,Blogtags,645
68,Skivee,Skajo,438
69,Skyba,Brainlounge,917
70,Oyonder,Mynte,453
71,Eamia,Jamia,813
72,Jaxnation,Browseblab,711
73,Tagopia,Gabcube,167
74,Skinder,Roombo,130
75,Camido,Centimia,211
76,Realcube,Topicblab,973
77,Einti,Yacero,146
78,Youopia,Zoomdog,863
79,Brainlounge,Snaptags,375
80,Topdrive,Browsecat,969
81,Oyoba,Linktype,617
82,Thoughtmix,Snaptags,666
83,Brainsphere,Vidoo,776
84,Lazzy,Zooxo,17
85,Janyx,Fatz,350
86,Brightdog,Oyoyo,891
87,Rhycero,Eare,688
88,Quimba,Skyvu,601
89,Trudoo,Youtags,62
90,Oyoba,Yakidoo,417
91,Riffwire,Feedfire,141
92,Jabbersphere,Voomm,208
93,Buzzster,Jabberstorm,564
94,Eamia,Ooba,442
95,Demimbu,Divanoodle,595
96,Livefish,Skyvu,350
97,Topicblab,Wordify,186
98,Aivee,Skidoo,497
99,Skinte,Flashdog,512
100,Thoughtblab,Topicware,18
